"filename", "language", "YAML", "Dart", "Markdown", "Properties", "Groovy", "XML", "Java", "GraphQL", "JSON", "HTML", "Swift", "C++", "Ruby", "Objective-C", "comment", "blank", "total"
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/android/app/build.gradle", "Groovy", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 63
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 9
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 45
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/android/app/src/main/kotlin/com/example/untitled_client/ExampleAppGlideModule.java", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 8
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/android/build.gradle", "Groovy", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/android/gradle.properties", "Properties", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/android/settings.gradle", "Groovy", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/build.yaml", "YAML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 28
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/fragments/commentFragment.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 24
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/fragments/fileFragment.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/fragments/postFragment.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 29
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/fragments/replyFragment.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 24
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/fragments/tokensFragment.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/fragments/userFragment.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/fragments/videogamesFragment.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/addNewDeviceToken.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/addUserInterests.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/changePasswordAndSignIn.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 24
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/createComment.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/createPost.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 29
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/createReply.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/deleteComment.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/deletePost.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/deleteUser.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/deleteUserSearch.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/editProfile.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 26
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/followUnfollowMutation.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/likeComment.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/likePost.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/likeReply.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/refreshTokens.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/sendResetPasswordEmail.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/signIn.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/signOut.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/signUp.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/userTapped.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/viewClip.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/queries/comments.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/queries/followersList.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 20
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/queries/followingList.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 20
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/queries/followingPosts.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/queries/me.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 12, 1, 34
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/queries/notifications.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 224, 0, 0, 0, 0, 0, 0, 0, 0, 224
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/queries/posts.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/queries/replies.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 16
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/queries/searchUsers.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/queries/searchedUsers.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 0, 16
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/queries/singlePost.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/queries/user.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 20
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/queries/userFollowers.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/queries/userFollowing.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/queries/userPosts.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 16
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/queries/verifyResetCode.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/queries/videogameGenres.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/queries/videogamePosts.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/queries/videogames.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 74, 17, 106
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/keyboard_attachable-2.0.1-copy/CHANGELOG.md", "Markdown", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 27
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/keyboard_attachable-2.0.1-copy/README.md", "Markdown", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 70
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/keyboard_attachable-2.0.1-copy/analysis_options.yaml", "YAML", 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 140
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/keyboard_attachable-2.0.1-copy/doc/keyboard_attachable.md", "Markdown", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 107
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/keyboard_attachable-2.0.1-copy/example/README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/keyboard_attachable-2.0.1-copy/example/android/app/build.gradle", "Groovy", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 60
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/keyboard_attachable-2.0.1-copy/example/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 8
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/keyboard_attachable-2.0.1-copy/example/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 42
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/keyboard_attachable-2.0.1-copy/example/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/keyboard_attachable-2.0.1-copy/example/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/keyboard_attachable-2.0.1-copy/example/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/keyboard_attachable-2.0.1-copy/example/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/keyboard_attachable-2.0.1-copy/example/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 8
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/keyboard_attachable-2.0.1-copy/example/android/build.gradle", "Groovy", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/keyboard_attachable-2.0.1-copy/example/android/gradle.properties", "Properties", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/keyboard_attachable-2.0.1-copy/example/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/keyboard_attachable-2.0.1-copy/example/android/settings.gradle", "Groovy", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/keyboard_attachable-2.0.1-copy/example/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/keyboard_attachable-2.0.1-copy/example/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/keyboard_attachable-2.0.1-copy/example/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/keyboard_attachable-2.0.1-copy/example/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/keyboard_attachable-2.0.1-copy/example/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/keyboard_attachable-2.0.1-copy/example/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/keyboard_attachable-2.0.1-copy/example/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/keyboard_attachable-2.0.1-copy/example/lib/basic.dart", "Dart", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 60
